168.98,-153.37,1985.1
173.72,-157.63,2040.3
176.48,-160.18,2073.6
176.49,-160.24,2073.8
176.42,-160.15,2073.3
176.4,-160.09,2073.3
176.36,-159.98,2072.1
176.29,-159.94,2070.7
176.25,-159.96,2071.1
176.28,-160,2071.7
176.32,-160.01,2072.1
176.45,-160.09,2074.3
176.49,-159.93,2071.9
176.5,-160.36,2079
174.48,-160.57,2083.1
171.91,-159.9,2075
170.7,-159.93,2074.8
170.63,-159.92,2074.6
170.81,-159.91,2073.7
170.93,-160.18,2077.2
170.85,-160.58,2082.5
170.84,-160.78,2085.6
170.98,-161.05,2087.6
171.29,-161.04,2087
171.5,-161.1,2088.1
171.21,-163.16,2089.5
165.09,-175.49,2088.9
156.94,-191.52,2089.6
149.19,-202.76,2070.2
145.75,-210.17,2065.6
145.02,-216.76,2068.3
145.74,-226.62,2073.2
147.26,-234.56,2072.6
152.27,-249.93,2086.7
155.52,-266.64,2091.1
156.95,-284.86,2112.2
153.24,-292.4,2099.2
145.7,-299.7,2089.3
138.87,-305.67,2089.1
133.67,-306.51,2078.9
