168.98,-153.37,1985.1
173.72,-157.63,2040.3
176.48,-160.18,2073.6
176.48,-160.24,2073.7
176.45,-160.17,2073.6
176.46,-160.14,2073.9
176.44,-160.05,2072.9
176.38,-160.03,2071.7
176.35,-160.07,2072.4
176.39,-160.1,2073.1
176.41,-160.09,2073.2
176.54,-160.16,2075.5
176.55,-159.95,2072.1
176.53,-160.46,2080.5
174.19,-160.62,2083.8
171.58,-159.78,2073.4
170.74,-159.93,2074.5
170.95,-159.95,2074.7
171.14,-159.94,2073.8
171.14,-160.23,2078.1
170.9,-160.64,2083.4
170.84,-160.79,2085.9
170.97,-161.04,2087.3
171.29,-160.98,2086.3
171.47,-161.06,2087.8
171.09,-163.45,2089.4
164.07,-177.33,2088.6
155.84,-193.47,2089.6
148.67,-203,2067.2
146.37,-209.08,2065.5
146.22,-215.42,2070.3
146.91,-226.08,2075.3
148.1,-233.99,2073.1
153.2,-250.66,2088.9
155.71,-267.48,2091.2
156.47,-285.49,2114.1
151.85,-290.89,2095.2
143.98,-298.14,2085.9
137.88,-304.44,2088.6
133.58,-305.07,2077.9
